persona,mujer,Actividad que le hizo famoso: cantante profesional,Actividad que le hizo famoso: Deportista Profesional,Actividad que le hizo famoso: Político,Actividad que le hizo famoso Actor: Profesional,Actividad que le hizo famoso: Balilarín Profesional,Actividad que le hizo famoso: Presentador,Actividad que le hizo famoso: Director Cine,nació en españa,Sigue vivo,relacionado con el fútbol,deportista profesional en deportes de equipo,Ha jugado en el Real Madrid (mejor equipo de la historia),Tiene título nobiliario,nació en colombia,Juega al tenis o está casado con una jugadora de tenis,Manchego,nació en Méjico
HectorAlterio,n,n,n,n,s,n,n,n,n,s,n,n,n,n,n,n,n,n
Alaska,s,s,n,n,n,n,n,n,s,s,n,n,n,n,n,n,n,n
Alejandro Sanz,n,s,n,n,n,n,n,n,s,s,n,n,n,n,n,n,n,n
Alex De La Iglesia,n,n,n,n,n,n,n,s,s,s,n,n,n,n,n,n,n,n
Fernando Alonso,n,n,s,n,n,n,n,n,s,s,n,n,n,n,n,n,n,n
Andreu Buenafuente,n,n,n,n,n,n,s,n,s,s,n,n,n,n,n,n,n,n
Antonio Banderas,n,n,n,n,s,n,n,n,s,s,n,n,n,n,n,n,n,n
Montserrat Caballé,s,s,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n,n
Enrique Iglesias,n,s,n,n,n,n,n,n,s,s,n,n,n,n,n,s,n,n
Fidel Castro,n,n,n,s,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Gabriel García Marquez,n,n,n,n,n,n,n,n,n,n,n,n,n,n,s,n,n,n
Gael Garcia,n,n,n,n,s,n,n,n,n,s,n,n,n,n,n,n,n,s
Iker Casillas,n,n,s,n,n,n,n,n,s,s,s,s,s,n,n,n,n,n
Jennifer Lopez,s,s,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n
Joaquin Cortes,n,n,n,n,n,s,n,n,s,s,n,n,n,n,n,n,n,n
Juanes,n,s,n,n,n,n,n,n,n,s,n,n,n,n,s,n,n,n
Messi,n,n,s,n,n,n,n,n,n,s,s,s,n,n,n,n,n,n
Pau Gasol,n,n,s,n,n,n,n,n,s,s,n,s,n,n,n,n,n,n
Pedro Almodovar,n,n,n,n,n,n,n,s,s,s,n,n,n,n,n,n,s,n
Penelope Cruz,s,n,n,n,s,n,n,n,s,s,n,n,n,n,n,n,n,n
Rafael Nadal,n,n,s,n,n,n,n,n,s,s,n,n,n,n,n,s,n,n
Reina Sofía,s,n,n,n,n,n,n,n,n,s,n,n,n,s,n,n,n,n
Ricky Martin,n,s,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,n
Salma Hayek,s,n,n,n,n,n,n,n,n,s,n,n,n,n,n,n,n,s
Shakira,s,s,n,n,n,n,n,n,n,s,n,n,n,n,s,n,n,n
Fernando Torres,n,n,s,n,n,n,n,n,s,s,s,s,n,n,n,n,n,n
Vicente Bosque,n,n,s,n,n,n,n,n,s,s,s,s,s,s,n,n,n,n
José Luis Rodriguez Zapatero,n,n,n,s,n,n,n,n,s,s,n,n,n,n,n,n,n,n
